,period,value,time,start_at
2060,7,0.54093006,1712660400.0,2024-04-09 11:00:00+00:00
2061,7,0.54002199,1712664000.0,2024-04-09 12:00:00+00:00
2062,7,0.53662346,1712667600.0,2024-04-09 13:00:00+00:00
2063,7,0.54032959,1712671200.0,2024-04-09 14:00:00+00:00
2064,7,0.54759824,1712674800.0,2024-04-09 15:00:00+00:00
2065,7,0.54597777,1712678400.0,2024-04-09 16:00:00+00:00
2066,7,0.55004000,1712682000.0,2024-04-09 17:00:00+00:00
2067,7,0.55005458,1712685600.0,2024-04-09 18:00:00+00:00
2068,7,0.55002267,1712689200.0,2024-04-09 19:00:00+00:00
2069,7,0.55012421,1712692800.0,2024-04-09 20:00:00+00:00
2070,7,0.55008337,1712696400.0,2024-04-09 21:00:00+00:00
2071,7,0.54635223,1712700000.0,2024-04-09 22:00:00+00:00
2072,7,0.54455787,1712703600.0,2024-04-09 23:00:00+00:00
2073,7,0.54526037,1712707200.0,2024-04-10 00:00:00+00:00
2074,7,0.54376304,1712710800.0,2024-04-10 01:00:00+00:00
2075,7,0.54366295,1712714400.0,2024-04-10 02:00:00+00:00
2076,7,0.54901703,1712718000.0,2024-04-10 03:00:00+00:00
2077,7,0.55343867,1712721600.0,2024-04-10 04:00:00+00:00
2078,7,0.55132922,1712725200.0,2024-04-10 05:00:00+00:00
2079,7,0.55108171,1712728800.0,2024-04-10 06:00:00+00:00
2080,7,0.55100577,1712732400.0,2024-04-10 07:00:00+00:00
2081,7,0.54515650,1712736000.0,2024-04-10 08:00:00+00:00
2082,7,0.54668335,1712739600.0,2024-04-10 09:00:00+00:00
2083,7,0.54374855,1712743200.0,2024-04-10 10:00:00+00:00
2084,7,0.54448359,1712746800.0,2024-04-10 11:00:00+00:00
2085,7,0.54406653,1712750400.0,2024-04-10 12:00:00+00:00
2086,7,0.57088655,1712754000.0,2024-04-10 13:00:00+00:00
2087,7,0.56396758,1712757600.0,2024-04-10 14:00:00+00:00
2088,7,0.56293104,1712761200.0,2024-04-10 15:00:00+00:00
2089,7,0.56163983,1712764800.0,2024-04-10 16:00:00+00:00
2090,7,0.56772609,1712768400.0,2024-04-10 17:00:00+00:00
2091,7,0.56785895,1712772000.0,2024-04-10 18:00:00+00:00
2092,7,0.56834151,1712775600.0,2024-04-10 19:00:00+00:00
2093,7,0.57028191,1712779200.0,2024-04-10 20:00:00+00:00
2094,7,0.57019622,1712782800.0,2024-04-10 21:00:00+00:00
2095,7,0.57021351,1712786400.0,2024-04-10 22:00:00+00:00
2096,7,0.57210592,1712790000.0,2024-04-10 23:00:00+00:00
2097,7,0.57123516,1712793600.0,2024-04-11 00:00:00+00:00
2098,7,0.57161015,1712797200.0,2024-04-11 01:00:00+00:00
2099,7,0.56211611,1712800800.0,2024-04-11 02:00:00+00:00
2100,7,0.56639575,1712804400.0,2024-04-11 03:00:00+00:00
2101,7,0.56609972,1712808000.0,2024-04-11 04:00:00+00:00
2102,7,0.56682272,1712811600.0,2024-04-11 05:00:00+00:00
2103,7,0.56607843,1712815200.0,2024-04-11 06:00:00+00:00
2104,7,0.56602275,1712818800.0,2024-04-11 07:00:00+00:00
2105,7,0.56588719,1712822400.0,2024-04-11 08:00:00+00:00
2106,7,0.56765952,1712826000.0,2024-04-11 09:00:00+00:00
2107,7,0.57109235,1712829600.0,2024-04-11 10:00:00+00:00
2108,7,0.57230656,1712833200.0,2024-04-11 11:00:00+00:00
2109,7,0.57787413,1712836800.0,2024-04-11 12:00:00+00:00
2110,7,0.58064405,1712840400.0,2024-04-11 13:00:00+00:00
2111,7,0.58361924,1712844000.0,2024-04-11 14:00:00+00:00
2112,7,0.58623241,1712847600.0,2024-04-11 15:00:00+00:00
2113,7,0.58640035,1712851200.0,2024-04-11 16:00:00+00:00
2114,7,0.58134297,1712854800.0,2024-04-11 17:00:00+00:00
2115,7,0.57725091,1712858400.0,2024-04-11 18:00:00+00:00
2116,7,0.57673477,1712862000.0,2024-04-11 19:00:00+00:00
2117,7,0.56982359,1712865600.0,2024-04-11 20:00:00+00:00
2118,7,0.56976094,1712869200.0,2024-04-11 21:00:00+00:00
2119,7,0.57168421,1712872800.0,2024-04-11 22:00:00+00:00
2120,7,0.57092050,1712876400.0,2024-04-11 23:00:00+00:00
2121,7,0.57099752,1712880000.0,2024-04-12 00:00:00+00:00
2122,7,0.56851312,1712883600.0,2024-04-12 01:00:00+00:00
2123,7,0.56457258,1712887200.0,2024-04-12 02:00:00+00:00
2124,7,0.55837128,1712890800.0,2024-04-12 03:00:00+00:00
2125,7,0.55814403,1712894400.0,2024-04-12 04:00:00+00:00
2126,7,0.55629649,1712898000.0,2024-04-12 05:00:00+00:00
2127,7,0.55578588,1712901600.0,2024-04-12 06:00:00+00:00
2128,7,0.55608879,1712905200.0,2024-04-12 07:00:00+00:00
2129,7,0.55748881,1712908800.0,2024-04-12 08:00:00+00:00
2130,7,0.55736943,1712912400.0,2024-04-12 09:00:00+00:00
2131,7,0.55791579,1712916000.0,2024-04-12 10:00:00+00:00
2132,7,0.55356688,1712919600.0,2024-04-12 11:00:00+00:00
2133,7,0.55223312,1712923200.0,2024-04-12 12:00:00+00:00
2134,7,0.55521478,1712926800.0,2024-04-12 13:00:00+00:00
2135,7,0.55477220,1712930400.0,2024-04-12 14:00:00+00:00
2136,7,0.55663067,1712934000.0,2024-04-12 15:00:00+00:00
2137,7,0.55638656,1712937600.0,2024-04-12 16:00:00+00:00
2138,7,0.55751608,1712941200.0,2024-04-12 17:00:00+00:00
2139,7,0.59384263,1712944800.0,2024-04-12 18:00:00+00:00
2140,7,0.64300628,1712948400.0,2024-04-12 19:00:00+00:00
2141,7,0.64218205,1712952000.0,2024-04-12 20:00:00+00:00
2142,7,0.64338786,1712955600.0,2024-04-12 21:00:00+00:00
2143,7,0.64341317,1712959200.0,2024-04-12 22:00:00+00:00
2144,7,0.64337397,1712962800.0,2024-04-12 23:00:00+00:00
2145,7,0.64463605,1712966400.0,2024-04-13 00:00:00+00:00
2146,7,0.64459331,1712970000.0,2024-04-13 01:00:00+00:00
2147,7,0.66494427,1712973600.0,2024-04-13 02:00:00+00:00
2148,7,0.67579176,1712977200.0,2024-04-13 03:00:00+00:00
2149,7,0.67705902,1712980800.0,2024-04-13 04:00:00+00:00
2150,7,0.67929110,1712984400.0,2024-04-13 05:00:00+00:00
2151,7,0.67933400,1712988000.0,2024-04-13 06:00:00+00:00
2152,7,0.68005190,1712991600.0,2024-04-13 07:00:00+00:00
2153,7,0.67986969,1712995200.0,2024-04-13 08:00:00+00:00
2154,7,0.67979351,1712998800.0,2024-04-13 09:00:00+00:00
2155,7,0.68040357,1713002400.0,2024-04-13 10:00:00+00:00
2156,7,0.68052857,1713006000.0,2024-04-13 11:00:00+00:00
2157,7,0.68070850,1713009600.0,2024-04-13 12:00:00+00:00
2158,7,0.68041755,1713013200.0,2024-04-13 13:00:00+00:00
2159,7,0.67970544,1713016800.0,2024-04-13 14:00:00+00:00
2160,7,0.67991094,1713020400.0,2024-04-13 15:00:00+00:00
2161,7,0.68021729,1713024000.0,2024-04-13 16:00:00+00:00
2162,7,0.68271932,1713027600.0,2024-04-13 17:00:00+00:00
2163,7,0.69195705,1713031200.0,2024-04-13 18:00:00+00:00
2164,7,0.69801939,1713034800.0,2024-04-13 19:00:00+00:00
2165,7,0.77247409,1713038400.0,2024-04-13 20:00:00+00:00
2166,7,0.86823554,1713042000.0,2024-04-13 21:00:00+00:00
2167,7,0.87182398,1713045600.0,2024-04-13 22:00:00+00:00
2168,7,0.88784623,1713049200.0,2024-04-13 23:00:00+00:00
2169,7,0.88802954,1713052800.0,2024-04-14 00:00:00+00:00
2170,7,0.88975964,1713056400.0,2024-04-14 01:00:00+00:00
2171,7,0.89217084,1713060000.0,2024-04-14 02:00:00+00:00
2172,7,0.89593655,1713063600.0,2024-04-14 03:00:00+00:00
2173,7,0.89678280,1713067200.0,2024-04-14 04:00:00+00:00
2174,7,0.91382739,1713070800.0,2024-04-14 05:00:00+00:00
2175,7,0.91675581,1713074400.0,2024-04-14 06:00:00+00:00
2176,7,0.91797026,1713078000.0,2024-04-14 07:00:00+00:00
2177,7,0.91787957,1713081600.0,2024-04-14 08:00:00+00:00
2178,7,0.91830634,1713085200.0,2024-04-14 09:00:00+00:00
2179,7,0.91980220,1713088800.0,2024-04-14 10:00:00+00:00
2180,7,0.92042054,1713092400.0,2024-04-14 11:00:00+00:00
2181,7,0.92208530,1713096000.0,2024-04-14 12:00:00+00:00
2182,7,0.92317192,1713099600.0,2024-04-14 13:00:00+00:00
2183,7,0.92341977,1713103200.0,2024-04-14 14:00:00+00:00
2184,7,0.92278638,1713106800.0,2024-04-14 15:00:00+00:00
2185,7,0.92411494,1713110400.0,2024-04-14 16:00:00+00:00
2186,7,0.92622830,1713114000.0,2024-04-14 17:00:00+00:00
2187,7,0.92856807,1713117600.0,2024-04-14 18:00:00+00:00
2188,7,0.93191846,1713121200.0,2024-04-14 19:00:00+00:00
2189,7,0.93100229,1713124800.0,2024-04-14 20:00:00+00:00
2190,7,0.93106231,1713128400.0,2024-04-14 21:00:00+00:00
2191,7,0.92970849,1713132000.0,2024-04-14 22:00:00+00:00
2192,7,0.95269805,1713135600.0,2024-04-14 23:00:00+00:00
2193,7,0.95146335,1713139200.0,2024-04-15 00:00:00+00:00
2194,7,0.95595163,1713142800.0,2024-04-15 01:00:00+00:00
2195,7,0.95685975,1713146400.0,2024-04-15 02:00:00+00:00
